id	text	labels
1000:0	Manzara sahane evet ama servis rezalet.	[('service general', 'negative', 'servis'), ('ambience general', 'positive', 'Manzara')]
1000:1	Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.	[('food style_options', 'negative', 'mezenin'), ('service general', 'negative', 'garson')]
1000:2	Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.	[('food quality', 'positive', 'lezzetler'), ('food quality', 'positive', 'Yemekler'), ('food quality', 'neutral', 'NULL')]
1000:3	bu servise bu fiyatlar ise cok faZla.	[('restaurant prices', 'negative', 'fiyatlar')]
1000:4	Lacivert beni kalitesinin dusukluguyle cok sasirtti	[('restaurant general', 'negative', 'kalitesinin')]
1001:1	Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.	[('food quality', 'negative', 'balik')]
1001:2	Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.	[('service general', 'negative', 'balik geldi')]
1001:3	ayrica gelen kalamar soguk ve sünger gibiydi.	[('food quality', 'negative', 'kalamar')]
1001:4	uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.	[('restaurant general', 'negative', 'NULL')]
1001:5	Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden	[('restaurant general', 'negative', 'kalitesi')]
1002:0	Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.	[('food quality', 'negative', 'ev yemegi')]
1002:1	Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.	[('food quality', 'negative', 'ev yemeginin')]
1002:2	Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.	[('restaurant general', 'negative', 'NULL')]
1002:3	1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.	[('restaurant prices', 'negative', 'fiyatlarinin'), ('food quality', 'negative', 'yemeklerinin')]
1003:0	mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.	[('ambience general', 'negative', 'kasap reyonu')]
1003:1	garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.	[('service general', 'negative', 'garsonumuz')]
1003:2	lokumun daha iyisini yedim küşleme güzeldi.	[('food quality', 'positive', 'küşleme'), ('food quality', 'neutral', 'lokumun')]
1003:4	bilemedim mekana daha sonra belki bir şans daha verebilirim.	[('restaurant general', 'neutral', 'mekana')]
1004:0	2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:	[('drinks prices', 'negative', 'çayı')]
1004:1	) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.	[('drinks prices', 'negative', 'çay'), ('restaurant general', 'positive', 'NULL')]
1005:0	Şatobiryanı öneririm.	[('food quality', 'positive', 'Şatobiryanı')]
1005:1	Sosu tereyagli ve yumusak .	[('food quality', 'positive', 'Sosu')]
1005:2	Sert et sevmeyenler icin cok lezzetliydi.	[('food quality', 'positive', 'et')]
