id	text	labels
27925:3	Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.	[('service general', 'positive', 'Обслуживание'), ('service general', 'positive', 'метрдотель')]
27925:4	Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!	[('ambience general', 'positive', 'уголке'), ('ambience general', 'positive', 'приглушенный свет')]
27925:6	На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!	[('food quality', 'positive', 'блюд'), ('food prices', 'positive', 'улитки'), ('food quality', 'positive', 'улитки'), ('food quality', 'positive', 'блюда из мяса на мангале'), ('food style_options', 'positive', 'блюда из мяса на мангале'), ('food quality', 'positive', 'мяса на мангале')]
27925:7	Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!	[('ambience general', 'positive', 'живая музыка'), ('ambience general', 'positive', 'голос солистки')]
27925:8	В общем мы остались безумно довольны проведённым вечером в этом ресторане, так что всем советуем))	[('restaurant general', 'positive', 'ресторане')]
10099:3	Совершенно не разочаровались!	[('restaurant general', 'positive', 'NULL')]
10099:5	Еда вкусная, необычная.	[('food quality', 'positive', 'Еда')]
10099:6	Интересно будет зайти и попробовать что-нибудь еще)	[('food quality', 'positive', 'NULL')]
10099:7	По поводу интерьера: место спокойное, шумных компаний нет (не было, по крайней мере, в момент нашего посещения), очень приятная и уютная атмосфера, все в лучших традициях.	[('ambience general', 'neutral', 'интерьера'), ('restaurant general', 'neutral', 'место'), ('ambience general', 'positive', 'атмосфера')]
10099:8	Остались очень довольны данным заведением.	[('restaurant general', 'positive', 'заведением')]
10231:0	Я несколько раз была в этом заведении,о кухне могу сказать только самое хорошее.	[('food quality', 'positive', 'кухне')]
10231:1	Потрясающая паста с лососем,очень вкусные супчики,отличные десерты.	[('food quality', 'positive', 'паста с лососем'), ('food quality', 'positive', 'супчики'), ('food quality', 'positive', 'десерты')]
10231:2	Последний раз была с друзьями,все остались довольны и обслуживанием и едой.	[('service general', 'positive', 'обслуживанием'), ('food quality', 'positive', 'едой')]
10231:3	Интерьер не плохой, несколько залов на разный вкус и компанию.	[('ambience general', 'neutral', 'Интерьер'), ('ambience general', 'neutral', 'залов')]
10231:4	Вообщем стоящее место для обеда и посиделок с друзьями.	[('restaurant general', 'positive', 'место')]
10239:1	Нам двоим все понравилось и мы решили пригласить туда гостей, одна из которых по части еды была большим знатоком и критиком.	[('restaurant general', 'positive', 'NULL')]
10239:2	Сразу хочу сказать, что критиковать ей не пришлось, т.к. она осталась, как впрочем и все остальные гости, очень довольна!	[('restaurant general', 'positive', 'NULL')]
10239:3	Интерьер в легком французском стиле с приятным освещением на столиках, обслуживание без навязывания лишних блюд и напитков (официантка Анна), все происходило четко и быстро.	[('ambience general', 'neutral', 'Интерьер'), ('ambience general', 'positive', 'освещением'), ('service general', 'neutral', 'обслуживание')]
