id	text	labels
g1079435-d3498474-r271346275:0	Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto	[('service general', 'neutral', 'service'), ('food quality', 'negative', 'plats'), ('food quality', 'negative', 'sauces'), ('restaurant prices', 'neutral', 'NULL'), ('food quality', 'negative', 'NULL'), ('restaurant general', 'negative', 'resto')]
g1080298-d1332050-r275655485:0	Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.	[('ambience general', 'positive', 'ambiance'), ('location general', 'positive', 'promenade'), ('service general', 'positive', 'service')]
g1080298-d1332050-r275655485:1	Nous reviendrons!	[('restaurant general', 'positive', 'NULL')]
g1080298-d4701165-r281527562:0	on s'attendait à mieux (attente, qualité moyenne).	[('service general', 'negative', 'attente'), ('food quality', 'negative', 'NULL')]
g1080298-d4701165-r281527562:1	Pas mal, mais sans plus.	[('restaurant general', 'neutral', 'NULL')]
g1080298-d4701165-r281527562:2	Nous ne pensons pas y retourner	[('restaurant general', 'negative', 'NULL')]
g1080559-d3686505-r151173923:0	Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire	[('restaurant general', 'positive', 'adresse'), ('location general', 'positive', 'vue'), ('food quality', 'positive', 'cuisine'), ('service general', 'positive', 'service')]
g1080574-d1337519-r211045323:0	Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.	[('service general', 'negative', 'NULL')]
g1080574-d1337519-r211045323:2	On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !	[('food quality', 'negative', 'lasagnes'), ('food quality', 'negative', 'fromage'), ('food quality', 'negative', 'concentré de tomates')]
g1080574-d1337519-r211045323:3	Dessert tout sauf maison .... !	[('food quality', 'negative', 'Dessert')]
g1080574-d1337519-r211045323:4	Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller .....	[('restaurant general', 'negative', 'NULL')]
g1582538-d3877732-r250915172:0	Vraiment très agréablement surpris!	[('restaurant general', 'positive', 'NULL')]
