id	text	labels
es_9reinas_10_JordiCollGranell_2014-09-21:0	Nos sentimos muy a gusto.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_10_JordiCollGranell_2014-09-21:1	Buen servicio, ambiente Acogedor  y tranquilo, comida bien.	[('service general', 'positive', 'servicio'), ('ambience general', 'positive', 'ambiente'), ('food quality', 'positive', 'comida')]
es_9reinas_10_JordiCollGranell_2014-09-21:2	Muy recomendable	[('restaurant general', 'positive', 'NULL')]
es_9reinas_12_RomanAlimena_2014-09-04:0	La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.	[('service general', 'positive', 'atencion'), ('service general', 'positive', 'camareros')]
es_9reinas_12_RomanAlimena_2014-09-04:1	Y la comida espectacular, por eso lo bueno se paga...	[('food quality', 'positive', 'comida')]
es_9reinas_12_RomanAlimena_2014-09-04:2	Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.	[('food prices', 'negative', 'salsa provenzal'), ('restaurant general', 'positive', 'NULL')]
es_9reinas_14_AngelEspanolPuig_2014-06-26:0	Nada especial.	[('restaurant general', 'neutral', 'NULL')]
es_9reinas_14_AngelEspanolPuig_2014-06-26:1	Me habían comentado maravillas y está bien, pero nada más.	[('restaurant general', 'neutral', 'NULL')]
es_9reinas_14_AngelEspanolPuig_2014-06-26:2	Las carnes bien, pero como muchas otras.	[('food quality', 'neutral', 'carnes')]
es_9reinas_14_AngelEspanolPuig_2014-06-26:3	El precio, por lo que es la comida, para mi gusto es elevado.	[('food prices', 'negative', 'comida')]
es_9reinas_17_JoseCarlosLopez_2014-02-24:0	la calidad del producto, el servicio, el entorno todo fue excelente	[('food quality', 'positive', 'producto'), ('service general', 'positive', 'servicio'), ('ambience general', 'positive', 'entorno')]
es_9reinas_18_DanielGonzalez_2014-02-01:0	9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.	[('restaurant general', 'positive', '9reinas')]
es_9reinas_18_DanielGonzalez_2014-02-01:1	El servicio es muy bueno y la calidad de la comida al mismo nivel.	[('service general', 'positive', 'servicio'), ('food quality', 'positive', 'comida')]
es_9reinas_18_DanielGonzalez_2014-02-01:2	Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.	[('restaurant prices', 'positive', 'NULL'), ('food style_options', 'positive', 'carta')]
es_9reinas_18_DanielGonzalez_2014-02-01:3	Volveremos.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0	Fabuloso, muy atentos la comida excelente y un ambiente estupendo.	[('food quality', 'positive', 'comida'), ('ambience general', 'positive', 'ambiente'), ('restaurant general', 'positive', 'NULL'), ('service general', 'positive', 'NULL')]
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:1	Mis amigos quedaron encantados y nosotros tambien.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2	Vale la pena ir y probar sus carnes.	[('restaurant general', 'positive', 'NULL'), ('food quality', 'positive', 'carnes')]
es_9reinas_24_PilarTorresCarbajo_2013-12-22:0	El restaurante es precioso, moderno y acogedor.	[('ambience general', 'positive', 'restaurante')]
es_9reinas_24_PilarTorresCarbajo_2013-12-22:1	La comida está deliciosa y es de calidad.	[('food quality', 'positive', 'comida')]
es_9reinas_24_PilarTorresCarbajo_2013-12-22:2	El servicio muy atento.	[('service general', 'positive', 'servicio')]
es_9reinas_26_Lucia_2013-12-10:0	Hemos ido varias veces a cenar al 9reinas y nunca defrauda!	[('restaurant general', 'positive', '9reinas')]
es_9reinas_26_Lucia_2013-12-10:1	La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!	[('food quality', 'positive', 'carnes'), ('service general', 'positive', 'servicio'), ('drinks quality', 'positive', 'bodega')]
es_9reinas_26_Lucia_2013-12-10:2	Sin duda repetiremos.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_29_MarionCanavera_2013-07-14:0	restaurante excelente con carne de alta calidad.	[('restaurant general', 'positive', 'restaurante'), ('food quality', 'positive', 'carne')]
es_9reinas_29_MarionCanavera_2013-07-14:1	Nos encanto!	[('restaurant general', 'positive', 'NULL')]
es_9reinas_2_AlbertMuntana_2015-03-09:0	La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.	[('restaurant general', 'positive', 'NULL'), ('service general', 'positive', 'servicio'), ('food quality', 'positive', 'comida'), ('ambience general', 'positive', 'apariencia')]
es_9reinas_30_LauraMallen_2013-06-23:0	Hemos ido a cenar y la verdad es que nos ha encantado.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_30_LauraMallen_2013-06-23:1	el sitio es muy bonito la comida estupenda y el trato inmejorable.	[('ambience general', 'positive', 'sitio'), ('food quality', 'positive', 'comida'), ('service general', 'positive', 'trato')]
es_9reinas_30_LauraMallen_2013-06-23:2	totalmente recomendable	[('restaurant general', 'positive', 'NULL')]
es_9reinas_31_Sp_2013-06-22:0	Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.	[('restaurant general', 'positive', 'NULL'), ('ambience general', 'neutral', 'ambiente'), ('service general', 'positive', 'servicio'), ('service general', 'positive', 'tiempos'), ('food quality', 'positive', 'NULL')]
es_9reinas_31_Sp_2013-06-22:1	El dulce de leche es divino.	[('food quality', 'positive', 'dulce de leche')]
es_9reinas_32_JordiFriasMartinez_2013-05-07:0	Primera visita a este Restaurante con resultado satisfactorio.	[('restaurant general', 'positive', 'Restaurante')]
es_9reinas_32_JordiFriasMartinez_2013-05-07:1	Calidad, profesionalidad y precio acorde con la oferta.	[('food quality', 'positive', 'NULL'), ('restaurant prices', 'positive', 'NULL'), ('service general', 'positive', 'NULL')]
es_9reinas_35_Seasexandsun_2013-04-02:0	Casi como en Argentina.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_38_AdamNash_2013-02-13:0	Fantastico!!!	[('restaurant general', 'positive', 'NULL')]
es_9reinas_38_AdamNash_2013-02-13:1	Delicioso!!!	[('restaurant general', 'positive', 'NULL')]
es_9reinas_3_OliviaPotet_2015-01-15:0	resaturante fantástico con excelente comida y servicio aun mejor!!!!	[('restaurant general', 'positive', 'resaturante'), ('food quality', 'positive', 'comida'), ('service general', 'positive', 'servicio')]
es_9reinas_3_OliviaPotet_2015-01-15:1	tremenda amabilidad, es un gustazo!	[('service general', 'positive', 'amabilidad'), ('restaurant general', 'positive', 'NULL')]
es_9reinas_40_RichardHobohm_2013-01-03:0	Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.	[('service general', 'positive', 'Servicio'), ('service general', 'negative', 'platitos para el pan')]
es_9reinas_40_RichardHobohm_2013-01-03:1	Estaria bien musica argentina.	[('ambience general', 'negative', 'musica argentina')]
es_9reinas_40_RichardHobohm_2013-01-03:2	Los precios estan dentro de los parametros normales.	[('restaurant prices', 'neutral', 'NULL')]
es_9reinas_42_EduardoCubero_2012-12-04:0	Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.	[('service general', 'positive', 'servicio'), ('food quality', 'positive', 'comida')]
es_9reinas_42_EduardoCubero_2012-12-04:1	Enhorabuena!!	[('restaurant general', 'positive', 'NULL')]
es_9reinas_47_SandraMonica_2012-08-15:0	Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.	[('restaurant general', 'positive', 'restaurant'), ('food prices', 'negative', 'comida')]
es_9reinas_47_SandraMonica_2012-08-15:1	La tira de asado normal, nada extraordinaria.	[('food quality', 'neutral', 'tira de asado')]
es_9reinas_47_SandraMonica_2012-08-15:2	Muy bien los postres y el matambre.	[('food quality', 'positive', 'postres'), ('food quality', 'positive', 'matambre')]
es_9reinas_47_SandraMonica_2012-08-15:3	Se podria mejorar la iluminación en la planta superior, demasiada luz plana.	[('ambience general', 'negative', 'iluminación')]
es_9reinas_48_DamarisRodriguezPerez_2012-07-30:0	Recomendable 100%.	[('restaurant general', 'positive', 'NULL')]
es_9reinas_48_DamarisRodriguezPerez_2012-07-30:1	Un sitio precioso, con un ambiente exquisito.	[('ambience general', 'positive', 'sitio'), ('ambience general', 'positive', 'ambiente')]
es_9reinas_48_DamarisRodriguezPerez_2012-07-30:2	El servicio inmejorable y la comida excepcional!!	[('service general', 'positive', 'servicio'), ('food quality', 'positive', 'comida')]
es_9reinas_49_AntonioBlancoLopez_2012-07-16:0	Exquisitas las ensaladas y la carne.	[('food quality', 'positive', 'ensaladas'), ('food quality', 'positive', 'carne')]
es_9reinas_49_AntonioBlancoLopez_2012-07-16:1	Abundante comida.	[('food style_options', 'positive', 'comida')]
es_9reinas_49_AntonioBlancoLopez_2012-07-16:2	Seguro que no te quedas con hambre y la claidad excelente.	[('food quality', 'positive', 'NULL')]
es_9reinas_50_Joan_2012-06-03:0	La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.	[('food quality', 'positive', 'carnes'), ('service general', 'positive', 'servicio')]
