id	text	labels
0	 Sooft nach LOC und noch nie hier Essen, was für eine Zeitverschwendung!	"['(""restaurant general"", ""negative"", ""NULL"")']"
1	!Auch wenn die Bedienung sich dafür entschuldigt hat, war es kein schönes Erlebnis.	"['(""service general"", ""positive"", ""Bedienung"")', '(""restaurant general"", ""negative"", ""NULL"")']"
2	!Dieses Lokal können wir sehr guten Gewissens nur empfehlen (und wir empfehlen nur selten Restaurants).	"['(""restaurant general"", ""positive"", ""Lokal"")']"
3	!Mit Abstand der lächerlichste laden in LOC!	"['(""restaurant general"", ""negative"", ""laden"")']"
4	!Nur zu empfehlen!	"['(""restaurant general"", ""positive"", ""NULL"")']"
5	"""Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben."	"['(""service general"", ""negative"", ""Servicemitarbeiter/in"")']"
6	- Es war schon mal deutlich besser.	"['(""restaurant general"", ""negative"", ""NULL"")']"
7	23 abends dann doch etwas frisch auf der Terrasse.	"['(""ambience general"", ""negative"", ""Terrasse"")']"
8	2x umgesetzt werden, nach 45 min immer noch keine Bestellung aufgenommen.	"['(""service general"", ""negative"", ""NULL"")']"
9	30% - ausreichend Personal, System der Annahme von Bestellungen nicht erkennbar.	"['(""service general"", ""negative"", ""System der Annahme von Bestellungen"")']"
10	:)Großer Dank gilt hier unserer Bedienung Susanna, die höflichst und in bester italienischer Manier auf unsere Wünsche eingegangen ist!	"['(""service general"", ""positive"", ""Susanna"")']"
11	= Brauhaus - Service = unterste Schublade	"['(""service general"", ""negative"", ""Brauhaus - Service"")']"
12	Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.	"['(""drinks style_options"", ""negative"", ""Fernet Branca aus einem Grappaglas"")']"
13	Aber das Essen ist einfach nichts besonderes.	"['(""food quality"", ""neutral"", ""Essen"")']"
14	Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.	"['(""food quality"", ""negative"", ""Saure Lüngerl"")']"
15	Aber die Bedienung war schon sehr unfreundlich und wollte das Menu nicht ein klein wenig erklären, was bei den Preisen schon ganz nett wäre.	"['(""service general"", ""negative"", ""Bedienung"")']"
16	Aber die Kellner schaffen es sehr gut sich dort durchzuwinden und trotz des brechend vollen Hauses kam unser Essen nach normaler Wartezeit.	"['(""service general"", ""positive"", ""Kellner"")']"
17	Aber er war nicht ganz schlecht.	"['(""restaurant general"", ""neutral"", ""NULL"")']"
18	"Aber es gab zu viele ""aber"" man ist freundlich, hat sich hier aber doch sehr vom Ruf des Fernsehkochs abhängig gemacht."	"['(""restaurant miscellaneous"", ""negative"", ""NULL"")']"
19	Aber freundliche und schnelle Bedienung.	"['(""service general"", ""positive"", ""Bedienung"")']"
20	Aber leider lässt die Qualität des Essens zu wünschen übrig.	"['(""food quality"", ""negative"", ""Essens"")']"
21	Aber trotzdem ist der Besuch lohnend und zu empfehlen.	"['(""restaurant general"", ""positive"", ""Besuch"")']"
22	Aber was hier aktuell kredenzt wird und vor allem das unprofessionelle Ambiente schreckt ab.	"['(""food quality"", ""negative"", ""NULL"")', '(""ambience general"", ""negative"", ""Ambiente"")']"
23	Absolut freundlicher Kellner ( Chef ?	"['(""service general"", ""positive"", ""Kellner"")']"
24	Absolut schlechte Küche!	"['(""food quality"", ""negative"", ""Küche"")']"
25	Absolut weiterzuempfehlen.	"['(""restaurant general"", ""positive"", ""NULL"")']"
26	Absolute Empfehlung, hier gehe ich gerne wieder hin.	"['(""restaurant general"", ""positive"", ""NULL"")']"
27	Alle Personal sehr freundlich.	"['(""service general"", ""positive"", ""Personal"")']"
28	Allein wegen ihr würden wir wiederkommen :)	"['(""service general"", ""positive"", ""NULL"")']"
29	Allerdings dauerte es ewig bis das Essen kam, obwohl das Lokal nur zu 1/3 gefüllt war.	"['(""service general"", ""negative"", ""NULL"")']"
30	Allerdings gab man uns, trotz Reservierung wochenlang im Voraus, einen Tisch hinter dem ständig das dreckige Geschirr von abgeräumten Tischen deponiert wurde.	"['(""ambience general"", ""negative"", ""Tisch"")']"
31	Allerdings ist das Restaurant kein Schnäppchen.	"['(""restaurant prices"", ""negative"", ""Restaurant"")']"
32	Allerdings sahen die präsentierten frischen Fische an diesem Abend absolut nicht mehr frisch aus, weshalb ich mich nur für eine Fischsuppe entschieden habe.	"['(""food quality"", ""negative"", ""Fische"")']"
33	Allerdings waren die Bedienungen sehr aufmerksam.	"['(""service general"", ""positive"", ""Bedienungen"")']"
34	Alles in allem eine Unverschämtheit.	"['(""restaurant general"", ""negative"", ""NULL"")']"
35	Alles perfekt, eindeutig griechisch lecker, ok., der Reihe nach, im Detail:die sehr gute Vorspeise weckt den Appetit auf das Hauptgericht, das sowohl als Fleisch- und als Fischvariante absolut Klasse war, Ambiente angenehme Schlichtheit und das Personal in seiner waschechten, gastfreundlichen, griechischen Art einfach super!!	"['(""food quality"", ""positive"", ""Vorspeise"")', '(""food quality"", ""positive"", ""Fleisch- und als Fischvariante"")', '(""ambience general"", ""positive"", ""Ambiente"")', '(""service general"", ""positive"", ""Personal"")']"
36	Alles wie immer frisch zu bereitet.	"['(""food quality"", ""positive"", ""NULL"")']"
37	Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.	"['(""food style_options"", ""negative"", ""Fish"")']"
38	Als Kommentar kam nur der freche Spruch: das ist ebenso, da die Toilette im Untergeschoss sei.	"['(""service general"", ""negative"", ""NULL"")']"
39	Als nach einer dreiviertel Stunde endlich das Essen kam, war das sehr enttäuschend.	"['(""food quality"", ""negative"", ""Essen"")']"
40	Also versuchten wir zu bezahlen, was auch nicht sehr einfach war, weil ca.	"['(""service general"", ""negative"", ""NULL"")']"
41	Also wer großen Hunger hat wird wahrscheinlich nicht zufrieden gestellt.	"['(""food style_options"", ""negative"", ""NULL"")']"
42	Am Eingang ist niemand der einem die Abrechnungskarze übergibt, Warten !	"['(""service general"", ""negative"", ""NULL"")']"
43	Am Ende waren wir sehr enttäuscht von dem sehr unfreundlichen Service, weshalb wir kein Trinkgeld gegeben haben, daraufhin bekamen wir zum Abschied nicht Mal ein Tschüss.	"['(""service general"", ""negative"", ""Service"")']"
44	Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.	"['(""drinks quality"", ""positive"", ""Bier"")', '(""food quality"", ""positive"", ""Essen"")']"
45	Ambiente gut, Wetter gut, Bedienung flink und freundlich.	"['(""ambience general"", ""positive"", ""Ambiente"")', '(""ambience general"", ""positive"", ""Wetter"")', '(""service general"", ""positive"", ""Bedienung"")']"
46	Ambiente und Essen sind sehr stimmig.	"['(""food quality"", ""positive"", ""Essen"")', '(""ambience general"", ""positive"", ""Ambiente"")']"
47	An den Getränken gibt es nichts auszusetzen.	"['(""drinks quality"", ""positive"", ""Getränken"")']"
48	Anschließend hatte jeder ein Maß bestellt, wo die fast die Hälfte des Bieres aus Schaum bestand, allein das grenzte an Betrug.	"['(""drinks style_options"", ""negative"", ""Bieres"")']"
49	Anschließend war die Bedienung völlig mit jeglicher Weinempfehlung überfordert.	"['(""service general"", ""negative"", ""Bedienung"")']"
50	Anstatt es einfach auszutauschen wurde mir gesagt, das ich da eben Pech habe.	"['(""service general"", ""negative"", ""NULL"")']"
51	Aschenbecher vom Personal auf den Tisch gestellt, wo alte Zigaretten enthalten waren.	"['(""ambience general"", ""negative"", ""Aschenbecher"")', '(""service general"", ""negative"", ""Personal"")']"
52	Atmosphäre des Lokals ist gut, Personal reagierte auf den Wunsch, beim Salat eine Zutat wegzulassen allerdings unflexibel und der Inhaber ist mehr als unfreundlich.	"['(""ambience general"", ""positive"", ""Atmosphäre"")', '(""service general"", ""negative"", ""Inhaber"")', '(""service general"", ""negative"", ""Personal"")']"
53	Atmosphäre sehr gut.	"['(""ambience general"", ""positive"", ""Atmosphäre"")']"
54	Auch Getränke überteuert.	"['(""drinks prices"", ""negative"", ""Getränke"")']"
