	text	labels_0	labels_1	labels_2	labels_3	labels_4	labels_5	labels_6	labels_7	labels_8	labels_9	labels_10	labels_11	labels_12	labels_13	labels_14	labels_15
0	 Sooft nach LOC und noch nie hier Essen, was für eine Zeitverschwendung!	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
1	 Sooft nach LOC und noch nie hier Essen, was für eine Zeitverschwendung!	rg															
2	!Auch wenn die Bedienung sich dafür entschuldigt hat, war es kein schönes Erlebnis.	('SERVICE', 'POSITIVE', 'Bedienung')	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')														
3	!Auch wenn die Bedienung sich dafür entschuldigt hat, war es kein schönes Erlebnis.	sg	rg														
4	!Dieses Lokal können wir sehr guten Gewissens nur empfehlen (und wir empfehlen nur selten Restaurants).	('GENERAL-IMPRESSION', 'POSITIVE', 'Lokal')															
5	!Dieses Lokal können wir sehr guten Gewissens nur empfehlen (und wir empfehlen nur selten Restaurants).	rg															
6	!Mit Abstand der lächerlichste laden in LOC!	('GENERAL-IMPRESSION', 'NEGATIVE', 'laden')															
7	!Mit Abstand der lächerlichste laden in LOC!	rg															
8	!Nur zu empfehlen!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
9	!Nur zu empfehlen!	rg															
10	"Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben.	('SERVICE', 'NEGATIVE', 'Servicemitarbeiter/in')															
11	"Übrigens, das Ehepaar, welches nach uns an unserem Tisch Platz nahm, sah sich genötigt, sich persönlich auf die Suche nach einen/r Servicemitarbeiter/in zu begeben.	sg															
12	- Es war schon mal deutlich besser.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
13	- Es war schon mal deutlich besser.	rg															
14	23 abends dann doch etwas frisch auf der Terrasse.	('AMBIENCE', 'NEGATIVE', 'Terrasse')															
15	23 abends dann doch etwas frisch auf der Terrasse.	ag															
16	2x umgesetzt werden, nach 45 min immer noch keine Bestellung aufgenommen.	('SERVICE', 'NEGATIVE', 'NULL')															
17	2x umgesetzt werden, nach 45 min immer noch keine Bestellung aufgenommen.	sg															
18	30% - ausreichend Personal, System der Annahme von Bestellungen nicht erkennbar.	('SERVICE', 'NEGATIVE', 'System der Annahme von Bestellungen')															
19	30% - ausreichend Personal, System der Annahme von Bestellungen nicht erkennbar.	sg															
20	:)Großer Dank gilt hier unserer Bedienung Susanna, die höflichst und in bester italienischer Manier auf unsere Wünsche eingegangen ist!	('SERVICE', 'POSITIVE', 'Susanna')															
21	:)Großer Dank gilt hier unserer Bedienung Susanna, die höflichst und in bester italienischer Manier auf unsere Wünsche eingegangen ist!	sg															
22	= Brauhaus - Service = unterste Schublade	('SERVICE', 'NEGATIVE', 'Brauhaus - Service')															
23	= Brauhaus - Service = unterste Schublade	sg															
24	Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.	('FOOD', 'NEGATIVE', 'Fernet Branca aus einem Grappaglas')															
25	Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.	ds															
26	Aber das Essen ist einfach nichts besonderes.	('FOOD', 'NEUTRAL', 'Essen')															
27	Aber das Essen ist einfach nichts besonderes.	fq															
28	Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.	('FOOD', 'NEGATIVE', 'Saure Lüngerl')															
29	Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.	fq															
30	Aber die Bedienung war schon sehr unfreundlich und wollte das Menu nicht ein klein wenig erklären, was bei den Preisen schon ganz nett wäre.	('SERVICE', 'NEGATIVE', 'Bedienung')															
31	Aber die Bedienung war schon sehr unfreundlich und wollte das Menu nicht ein klein wenig erklären, was bei den Preisen schon ganz nett wäre.	sg															
32	Aber die Kellner schaffen es sehr gut sich dort durchzuwinden und trotz des brechend vollen Hauses kam unser Essen nach normaler Wartezeit.	('SERVICE', 'POSITIVE', 'Kellner')															
33	Aber die Kellner schaffen es sehr gut sich dort durchzuwinden und trotz des brechend vollen Hauses kam unser Essen nach normaler Wartezeit.	sg															
34	Aber er war nicht ganz schlecht.	('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')															
35	Aber er war nicht ganz schlecht.	rg															
36	Aber es gab zu viele "aber" man ist freundlich, hat sich hier aber doch sehr vom Ruf des Fernsehkochs abhängig gemacht.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
37	Aber es gab zu viele "aber" man ist freundlich, hat sich hier aber doch sehr vom Ruf des Fernsehkochs abhängig gemacht.	rm															
38	Aber freundliche und schnelle Bedienung.	('SERVICE', 'POSITIVE', 'Bedienung')															
39	Aber freundliche und schnelle Bedienung.	sg															
40	Aber leider lässt die Qualität des Essens zu wünschen übrig.	('FOOD', 'NEGATIVE', 'Essens')															
41	Aber leider lässt die Qualität des Essens zu wünschen übrig.	fq															
42	Aber trotzdem ist der Besuch lohnend und zu empfehlen.	('GENERAL-IMPRESSION', 'POSITIVE', 'Besuch')															
43	Aber trotzdem ist der Besuch lohnend und zu empfehlen.	rg															
44	Aber was hier aktuell kredenzt wird und vor allem das unprofessionelle Ambiente schreckt ab.	('FOOD', 'NEGATIVE', 'NULL')	('AMBIENCE', 'NEGATIVE', 'Ambiente')														
45	Aber was hier aktuell kredenzt wird und vor allem das unprofessionelle Ambiente schreckt ab.	fq	ag														
46	Absolut freundlicher Kellner ( Chef ?	('SERVICE', 'POSITIVE', 'Kellner')															
47	Absolut freundlicher Kellner ( Chef ?	sg															
48	Absolut schlechte Küche!	('FOOD', 'NEGATIVE', 'Küche')															
49	Absolut schlechte Küche!	fq															
50	Absolut weiterzuempfehlen.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
51	Absolut weiterzuempfehlen.	rg															
52	Absolute Empfehlung, hier gehe ich gerne wieder hin.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
53	Absolute Empfehlung, hier gehe ich gerne wieder hin.	rg															
54	Alle Personal sehr freundlich.	('SERVICE', 'POSITIVE', 'Personal')															
55	Alle Personal sehr freundlich.	sg															
56	Allein wegen ihr würden wir wiederkommen :)	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
57	Allein wegen ihr würden wir wiederkommen :)	sg															
58	Allerdings dauerte es ewig bis das Essen kam, obwohl das Lokal nur zu 1/3 gefüllt war.	('SERVICE', 'NEGATIVE', 'NULL')															
59	Allerdings dauerte es ewig bis das Essen kam, obwohl das Lokal nur zu 1/3 gefüllt war.	sg															
60	Allerdings gab man uns, trotz Reservierung wochenlang im Voraus, einen Tisch hinter dem ständig das dreckige Geschirr von abgeräumten Tischen deponiert wurde.	('AMBIENCE', 'NEGATIVE', 'Tisch')															
61	Allerdings gab man uns, trotz Reservierung wochenlang im Voraus, einen Tisch hinter dem ständig das dreckige Geschirr von abgeräumten Tischen deponiert wurde.	ag															
